Transaction_ID,Customer_ID,Transaction_Date,Transaction_Time,Amount,Merchant,Location,Device,Is_International,Is_HighRisk_Country,Transaction_Type,Fraud_Flag,Hour
1,06cf924e-5858-4376-a3db-b74fa73bbef5,04-10-2024,15:23:57,844.61,Blinkit,Bangalore,Mobile,No,Yes,Online,Fraud,15
2,75aeb2fd-10c8-4578-831c-264387053002,18-05-2025,18:28:23,690.46,Flipkart,Pune,Mobile,Yes,Yes,ATM,Fraud,18
3,340d4e34-135a-4c4f-832f-2cf4cfa666da,05-07-2025,05:06:09,7856.25,Flipkart,Mumbai,Mobile,No,No,POS,Fraud,5
4,0bad3af6-ee5e-4603-ae52-cc8ca4dd6213,20-04-2025,23:35:47,5692.39,BigBasket,Chennai,Mobile,Yes,No,In-store,Fraud,23
5,40615cf9-7b83-44d1-9cf5-73e95875de73,09-05-2024,23:30:56,8263.67,Zepto,Bangalore,Mobile,No,Yes,POS,Fraud,23
6,e42ed644-b249-417f-a66d-3495bb16aa44,14-10-2023,06:59:46,7032.26,Flipkart,Delhi,Desktop,No,No,Online,Fraud,6
7,c2ff515e-2970-4f3f-8925-25da90a491fb,23-12-2024,08:03:34,2230.43,Nykaa,Bangalore,Tablet,Yes,No,Online,Fraud,8
8,052e6fac-5545-4962-919a-8696f40cd3a1,20-07-2024,10:36:39,5683.9,Amazon,Chennai,Mobile,No,Yes,Bank Transfer,Fraud,10
9,54d5d1e2-2a57-4bec-b077-9953ad6cd3e5,08-03-2025,10:27:09,932.32,Blinkit,Mumbai,Tablet,No,No,ATM,Fraud,10
10,f28da1ea-e809-4cfb-bcd0-da09b0b96a78,08-10-2024,15:22:21,3225.62,Flipkart,Jaipur,Mobile,Yes,No,ATM,Fraud,15
11,2969074f-30af-4ac7-a508-054f54ed09ed,27-01-2024,12:05:01,1790.36,Blinkit,Hyderabad,Tablet,Yes,No,Bank Transfer,Fraud,12
12,486d7131-37cd-4577-b47b-c166af4d6b47,06-11-2023,06:51:15,6671.5,Flipkart,Kolkata,Mobile,No,Yes,Online,Fraud,6
13,03a10231-6e6a-4638-b5f4-c9fcf5ff2552,20-02-2025,18:49:50,4647.41,Nykaa,Chennai,Desktop,No,No,Online,Fraud,18
14,2a16cfb4-204c-4a7b-baa8-d1408fa7bf12,17-08-2023,04:01:13,76.94,Nykaa,Hyderabad,Mobile,No,Yes,In-store,Fraud,4
15,d6cd775e-d4a8-443a-abbf-7890f61c0b56,05-04-2025,19:56:46,2337.56,Flipkart,Hyderabad,Tablet,Yes,Yes,Online,Fraud,19
16,15da5ad0-aecc-4e3d-b7e4-b9746c43d62d,28-05-2025,19:45:02,5384.21,Blinkit,Jaipur,Mobile,Yes,Yes,In-store,Fraud,19
17,3ac94b1d-788d-47e2-8692-f5a92be55d32,23-08-2023,16:36:52,1581.68,Amazon,Delhi,Mobile,Yes,No,ATM,Fraud,16
18,9bbfeb3a-4e7c-4233-8a89-8ca640bb3e12,03-01-2025,18:09:26,7126.29,Zepto,Pune,Mobile,No,No,Online,Fraud,18
19,cc510cfb-84ea-4c63-8d99-72deff955e6b,25-09-2023,18:20:17,2642.61,Zepto,Pune,Mobile,No,No,POS,Fraud,18
20,f047958b-90ad-4719-ac27-2cc8668d5f6c,03-08-2023,20:22:02,2399.62,Zepto,Pune,Desktop,No,Yes,Online,Fraud,20
21,1e2f8d45-7c50-4382-a2c3-b68e0d464d8a,08-05-2024,09:00:17,525.91,BigBasket,Bangalore,Tablet,Yes,No,In-store,Fraud,9
22,d9228bb7-0be6-4894-8303-8a8259847214,20-12-2024,06:06:46,515.02,Blinkit,Pune,Mobile,No,Yes,In-store,Fraud,6
23,2a6847c8-585a-4e35-bc86-50b199126330,30-12-2024,14:19:20,6105.08,Myntra,Kolkata,Desktop,No,Yes,Bank Transfer,Fraud,14
24,63977d9b-d645-4e89-83ee-193998a9e9db,14-01-2024,16:22:54,809.05,Nykaa,Chennai,Desktop,No,Yes,In-store,Fraud,16
25,fea2aef3-89d4-415d-aa1d-ba8e5fb0e71a,04-07-2025,11:37:00,4331.45,Flipkart,Bangalore,Mobile,Yes,Yes,Online,Fraud,11
26,ad275405-f3bc-4ffb-bfec-1052e94189e1,17-04-2024,00:38:20,6842.38,BigBasket,Delhi,Desktop,Yes,No,Online,Fraud,0
27,9baceeec-3079-4d37-8e73-c6bf55e2f619,12-08-2024,21:31:07,4307.4,Zepto,Hyderabad,Mobile,No,Yes,Online,Fraud,21
28,13726e9b-d8a5-4c60-adde-92065f6bb7c7,27-09-2023,17:52:38,7709.8,Flipkart,Jaipur,Mobile,No,Yes,ATM,Fraud,17
29,002c6ed5-e64c-46a6-852b-08d9e1aa5743,03-01-2025,01:50:32,7318.39,Flipkart,Bangalore,Desktop,Yes,Yes,Bank Transfer,Fraud,1
30,12b4b909-98c6-47b7-8679-e73bac1aa9ee,09-04-2024,02:01:36,46.07,Zepto,Chennai,Desktop,No,No,Online,Fraud,2
31,5a622cf7-4f3a-4bc6-9117-3606b4d98ad5,25-09-2023,19:02:46,3187.55,Blinkit,Chennai,Mobile,Yes,No,Online,Fraud,19
32,5822e368-8992-488f-a670-9ee399e2bac5,22-10-2024,23:38:00,4661.97,Zepto,Mumbai,Mobile,No,No,ATM,Fraud,23
33,9cf46cab-c1e8-4fd6-b73a-f91bff492782,10-12-2023,07:19:59,5815.41,Amazon,Delhi,Desktop,Yes,Yes,POS,Fraud,7
